Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 871 , size[23][2] = 421 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 874 , size[23][2] = 422 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 877 , size[23][2] = 423 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 880 , size[23][2] = 424 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 883 , size[23][2] = 425 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 886 , size[23][2] = 426 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 889 , size[23][2] = 427 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 892 , size[23][2] = 428 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 895 , size[23][2] = 429 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 898 , size[23][2] = 430 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 901 , size[23][2] = 431 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 904 , size[23][2] = 432 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 907 , size[23][2] = 433 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 910 , size[23][2] = 434 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 913 , size[23][2] = 435 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 916 , size[23][2] = 436 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 919 , size[23][2] = 437 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 922 , size[23][2] = 438 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 925 , size[23][2] = 439 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 928 , size[23][2] = 440 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 931 , size[23][2] = 441 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 934 , size[23][2] = 442 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 937 , size[23][2] = 443 
